date,rank,sin,normalized_name,entity_type,source_candidate_name,identity_note
10-16,2,UO-SIN-000436,Hugh Latimer and Nicholas Ridley,group,Hugh Latimer and Nicholas Ridley,older two-bishop source form
10-16,3,UO-SIN-000437,Gall,person,Gall,
10-16,4,UO-SIN-000438,Hedwig of Silesia,person,Hedwig of Silesia,
10-16,5,UO-SIN-000439,Margaret Mary Alacoque,person,Margaret Mary Alacoque,
10-16,6,UO-SIN-000440,Daniel Rowland,person,Daniel Rowland,
10-17,2,UO-SIN-000441,John the Dwarf,person,John the Dwarf,
10-17,3,UO-SIN-000442,Etheldreda / Aethelthryth,person,Etheldreda / Æthelthryth,
10-17,4,UO-SIN-000443,Ursuline Martyrs of Valenciennes and Laval Martyrs,group,Ursuline Martyrs of Valenciennes and Laval Martyrs,group source form
10-18,2,UO-SIN-000444,John of Bridlington,person,John of Bridlington,
10-18,3,UO-SIN-000445,Gwen of Cornwall,person,Gwen of Cornwall,
10-19,2,UO-SIN-000446,Jean de Brebeuf Isaac Jogues and Companions,group,Jean de Brébeuf Isaac Jogues and Companions,group source form
10-19,3,UO-SIN-000447,Frideswide,person,Frideswide,
10-19,4,UO-SIN-000448,William Carey,person,William Carey,
10-19,5,UO-SIN-000449,Paul of the Cross,person,Paul of the Cross,
10-20,2,UO-SIN-000450,Acca of Hexham,person,Acca of Hexham,
10-20,3,UO-SIN-000451,Andrew of Crete,person,Andrew of Crete,
10-20,4,UO-SIN-000452,Bertilla Boscardin,person,Bertilla Boscardin,
10-20,5,UO-SIN-000453,Mary Teresa de Soubiran,person,Mary Teresa de Soubiran,
10-21,2,UO-SIN-000454,Fintan Munnu,person,Fintan Munnu,
10-21,3,UO-SIN-000455,Ursula and Companions,group,Ursula and Companions,group source form
10-21,4,UO-SIN-000456,Malchus,person,Malchus,
10-22,2,UO-SIN-000457,Albercius of Hieropolis,person,Albercius of Hieropolis,
10-22,3,UO-SIN-000458,John Paul II,person,John Paul II,
10-22,4,UO-SIN-000459,Donatus of Fiesole,person,Donatus of Fiesole,
10-22,5,UO-SIN-000460,Interior Life of Our Lady,observance,Interior Life of Our Lady,Marian devotional observance
10-23,2,UO-SIN-000461,Boethius,person,Boethius,
10-23,3,UO-SIN-000462,John of Capistrano,person,John of Capistrano,
10-23,4,UO-SIN-000463,Ethelfleda of Romsey,person,Ethelfleda of Romsey,
10-24,2,UO-SIN-000464,Antony Mary Claret,person,Antony Mary Claret,
10-24,3,UO-SIN-000465,Maglorius,person,Maglorius,
10-24,4,UO-SIN-000466,Felix of Thibiuca,person,Felix of Thibiuca,
10-25,2,UO-SIN-000467,The Forty Martyrs of England and Wales,group,The Forty Martyrs of England and Wales,group source form
10-25,3,UO-SIN-000468,Crispin and Crispinian,group,Crispin and Crispinian,group source form
10-25,4,UO-SIN-000469,Front of Perigueux,person,Front of Périgueux,
10-26,2,UO-SIN-000470,Cedd and Eata,group,Cedd and Eata,group source form
10-26,3,UO-SIN-000471,Bean,person,Bean,
10-27,2,UO-SIN-000472,Frumentius,person,Frumentius,
10-27,3,UO-SIN-000473,Nestor of Thessalonica,person,Nestor of Thessalonica,
10-28,2,UO-SIN-000474,Salvius of Amiens,person,Salvius of Amiens,
10-29,2,UO-SIN-000475,Colman of Kilmacduagh,person,Colman of Kilmacduagh,
10-29,3,UO-SIN-000476,Merewenna,person,Merewenna,
10-30,2,UO-SIN-000477,John Wyclif,person,John Wyclif,
10-30,3,UO-SIN-000192,John Hus,person,Jan Hus,also appears 07-06
10-30,4,UO-SIN-000277,Clare of Montefalco,person,Clare of Montefalco,also appears 08-17
10-30,5,UO-SIN-000478,Alphonsus Rodriguez,person,Alphonsus Rodriguez,
10-31,2,UO-SIN-000479,Wolfgang of Regensburg,person,Wolfgang of Regensburg,
10-31,3,UO-SIN-000480,Saints of the Reformation Era,group,Saints of the Reformation Era,group commemoration
10-31,4,UO-SIN-000482,Foillan,person,Foillan,
